date,Execution Price,Size Tokens,Size USD,Closed PnL,Fee,timestamp,value,classification
2023-01-05,1898.1333333333332,0.25129999999999997,477.0,0.0,0.0,1672896600,29,Fear
2023-05-12,11038.3,11.80901,50005.83,0.0,12.501455,1683869400,49,Neutral
2024-01-01,10373.330666666667,4178.78664,264239.52999999997,-129.53146,66.059867,1704087000,65,Greed
2024-01-02,0.07612616666666668,44986.0,2008.18,0.0,0.5020439999999999,1704173400,71,Greed
2024-01-03,2.725657408759124,25984676.0,472974.7,8244.241409,-0.546854,1704259800,70,Greed
2024-01-04,1332.2278167402596,9563430.3674,339470.47,2507.963406,83.751362,1704346200,68,Greed
2024-01-05,2916.8142857142857,29.825,87025.45,0.0,30.458908,1704432600,72,Greed
2024-01-06,1.1308718,499938.0,12834.62,91.510419,4.492106,1704519000,70,Greed
2024-01-07,1312.7375605675,1227237.4996,362670.14999999997,5065.839308,425.323025,1704605400,71,Greed
2024-01-08,18740.473002526316,292827.2818435,227774.53,167.080017,108.095036,1704691800,71,Greed
2024-01-09,44.57331249999999,5846.961139999999,12359.68,137.433093,4.325861,1704778200,76,Extreme Greed
2024-01-10,62044.5,2.25636,139954.32,0.0,48.98401,1704864600,73,Greed
2024-01-11,27379.532136956524,57939.29527,260981.03,1040.475736,90.654875,1704951000,76,Extreme Greed
2024-01-12,6389.235122030456,3560119.23642001,814711.82,40886.364494,245.38375138,1705037400,71,Greed
2024-02-01,10199.892598764705,208218.35486,121348.74,783.979116,30.337176,1706765400,63,Greed
2024-02-02,15601.771341142858,42139.736820000006,474278.43,456.423473,91.569636,1706851800,63,Greed
2024-02-03,0.8005309032258064,651733.0,63197.56,230.90060000000005,-0.4691290000000001,1706938200,60,Greed
2024-02-04,3060.7089024390243,5958.1049,239664.50999999998,883.760812,80.13257399999999,1707024600,60,Greed
2024-02-06,1.0599227956989248,31288.5,29464.51,192.906947,7.792912,1707197400,64,Greed
2024-02-07,3.4119444444444444,11420.300000000001,33347.47,2421.253116,11.458730000000001,1707283800,62,Greed
2024-02-08,14406.321016984128,68333.3740408,396320.37,782.3681909999999,145.520462,1707370200,66,Greed
2024-02-09,2426.1,12.3657,30000.42,0.0,10.500148,1707456600,72,Greed
2024-02-10,60911.0,1.64099,99954.34,0.0,34.984016999999994,1707543000,74,Greed
2024-02-11,68880.0,0.58072,40000.0,0.0,13.999997,1707629400,71,Greed
2024-02-12,6137.360651434223,210965.83884,585243.56,18489.604313,147.88781359,1707715800,70,Greed
2024-03-01,738.8837898507463,64502.1274,394499.36,866.015507,98.624811,1709271000,80,Extreme Greed
2024-03-02,29939.640223214286,9661.26755,603820.0,223.30918699999998,109.662349,1709357400,80,Extreme Greed
2024-03-03,3.0333498607594938,48774887.74,390745.68,8361.086245,-2.507103,1709443800,83,Extreme Greed
2024-03-04,8.3283,2310.0,16887.57,126.7884,1.661201,1709530200,82,Extreme Greed
2024-03-05,1960.4601549999998,42527.4724,282682.64999999997,5306.017045,98.910681,1709616600,90,Extreme Greed
2024-03-06,1.3030562857142858,19199.3,21466.86,562.808208,5.378086,1709703000,75,Extreme Greed
2024-03-07,2039.0916666666667,256.5812,179600.66,1118.387284,62.628682,1709789400,82,Extreme Greed
2024-03-08,2718.8256902127027,71917.87894000001,290532.86,464.1897,108.653106,1709875800,81,Extreme Greed
2024-03-10,26799.238066666665,3777.99039,132935.69,100.375782,46.527491000000005,1710048600,79,Extreme Greed
2024-03-11,45208.04899166667,129416.61818,129055.66,0.0,40.404152,1710135000,82,Extreme Greed
2024-03-12,2354.399729529412,251246.61252,1084666.53,23576.539285,330.57309170999997,1710221400,81,Extreme Greed
2024-04-01,2212.62,45.0958,99792.54000000001,-67.60364,24.948132,1711949400,79,Extreme Greed
2024-04-02,12108.636457142857,20905.14109,203187.53,47.62389499999999,50.52688,1712035800,79,Extreme Greed
2024-04-03,419.88134141,36892599.52038,1577996.87,27799.775742,-0.559449,1712122200,71,Greed
2024-04-04,3401.434375,28.284299999999998,95987.73,0.0,33.595684999999996,1712208600,70,Greed
2024-04-05,2089.1695403333333,579928.2829,58998.75,0.0,20.649559,1712295000,79,Extreme Greed
2024-04-06,13394.864554716982,2483.33818,24243.41,52.211438,7.432953,1712381400,75,Extreme Greed
2024-04-07,2795.886,302.9901,430568.01,0.0,113.02464499999999,1712467800,78,Extreme Greed
2024-04-08,11138.705859755904,227049.7193107,1207744.07,-122672.000883,445.902235,1712554200,76,Extreme Greed
2024-04-09,5402.028013264706,52210.38311,131480.97,1065.785132,63.570226999999996,1712640600,80,Extreme Greed
2024-04-10,0.0011,307.367829,0.34,0.0,0.0,1712727000,78,Extreme Greed
2024-04-11,49681.014294444445,129421.2777,451811.97,2799.410474,158.13418000000001,1712813400,76,Extreme Greed
2024-04-12,3922.991142316614,13484938.200452391,769287.65,292891.815021,172.60641765,1712899800,79,Extreme Greed
2024-05-01,30495.46818181818,251.80766,1703942.66,164.141565,425.985639,1714541400,54,Neutral
2024-05-02,15958.2223625,29741.6286,770198.26,-33.45419400000003,165.549465,1714627800,43,Fear
2024-05-03,0.3816785944444444,44987293.0,841810.32,19791.026041,-4.438459,1714714200,48,Neutral
2024-05-04,330.28005890000003,208515.2373,503791.8,10706.484306,103.430138,1714800600,67,Greed
2024-05-05,2099.545833333333,15.6288,24068.350000000002,0.916,8.412778,1714887000,69,Greed
2024-05-06,2682.9926944444446,2452.07392,25350.77,56.055506,7.1040600000000005,1714973400,71,Greed
2024-05-07,1837.889625,5354.8189999999995,272289.89,0.0,95.130717,1715059800,68,Greed
2024-05-08,14847.670722625,422142.75432,420495.4,-13013.665169,202.719158,1715146200,64,Greed
2024-05-09,7.79e-05,10818.93703,0.84,0.0,0.0,1715232600,55,Greed
2024-05-10,60568.594601856756,2278.873416,605605.74,5767.161892,211.961771,1715319000,66,Greed
